"İllerde yaşam endeksi gösterge değerleri, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indicator values of well-being index for provinces, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Konut
Housing",,,,"Çalışma hayatı
Kahramanmaraş,,"1,2","79,8","24,9",,"41,5","11,6","55,3","78,8",,2 336,"26,2","55,8",,"11,6","79,1",6 058,"70,4","85,8",,"27,6","291,7","196,7","11,1","82,5",,"68,5","34,9","96,6","16,9","58,2",,"16,5","2,3","76,5","89,0",,"90,0","26,2","5,4",,"5,0","85,0","273,6","55,1",,"36,2","59,0","92,1","68,5",,"68,2"
Mardin,,"0,8","58,0","33,2",,"29,7","20,6","49,0","67,3",,1 030,"23,4","66,7",,"16,2","80,3",7 240,"59,2","68,3",,"26,4","241,9","189,0","10,2","67,3",,"58,0","14,5","95,6","15,3","46,4",,"24,1","1,3","69,9","75,2",,"83,8","17,1","4,7",,"3,1","84,0","228,8","45,6",,"10,7","50,1","83,5","36,1",,"51,6"
Muğla,,"1,4","89,5","17,6",,"51,5","7,3","57,7","81,5",,10 527,"38,9","51,3",,"6,9","80,5",5 375,"72,2","71,5",,"38,3","324,5","198,8","16,1","66,8",,"81,0","66,5","94,9","17,2","70,1",,"52,5","4,6","63,8","79,8",,"90,6","19,6","6,8",,"14,5","83,0","318,2","53,3",,"56,1","175,2","84,0","52,1",,"52,4"
Muş,,"0,8","65,6","30,9",,"41,2","10,4","59,0","69,4",, 759,"22,6","69,3",,"13,2","77,5",7 080,"64,4","61,5",,"26,9","251,7","191,2","8,9","63,7",,"99,0","8,4","48,3","15,4","36,7",,"21,9","1,1","54,5","78,0",,"82,0","16,9","4,0",,"2,2","42,0","125,7","35,8",,"9,1","0,0","91,3","25,7",,"54,7"
Nevşehir,,"1,5","89,7","13,8",,"47,5","6,0","49,9","81,4",,6 201,"36,7","45,2",,"7,0","77,6",6 993,"73,2","85,6",,"46,7","310,3","199,9","11,9","76,9",,"47,0","1,3","75,3","11,7","69,4",,"21,0","3,3","69,1","85,5",,"90,6","19,7","4,9",,"10,0","71,7","150,3","64,4",,"41,6","90,9","88,7","43,6",,"64,5"
Niğde,,"1,3","81,7","16,2",,"46,3","6,1","52,2","81,6",,2 928,"28,0","50,5",,"10,3","78,4",7 459,"77,4","84,4",,"31,6","294,3","202,5","11,8","81,6",,"68,0","7,1","73,3","7,1","61,5",,"26,2","2,4","76,2","89,7",,"91,8","20,8","5,5",,"6,5","66,0","0,0","63,6",,"19,2","0,0","89,0","57,3",,"64,9"
Ordu,,"1,4","99,2","24,5",,"49,0","6,1","51,1","77,7",,3 464,"29,9","53,0",,"8,4","79,8",6 534,"68,6","81,6",,"34,9","307,4","196,8","11,1","77,8",,"48,0","34,1","87,9","15,8","54,5",,"22,1","2,0","66,6","88,6",,"86,8","20,6","7,3",,"7,1","67,5","85,6","54,4",,"29,8","10,8","88,4","45,3",,"58,2"
Rize,,"1,6","97,9","14,7",,"48,1","6,7","57,4","91,6",,3 900,"37,7","42,7",,"8,4","79,6",5 971,"77,5","86,2",,"39,1","306,7","194,5","13,5","84,4",,"30,0","44,3","67,2","12,6","75,5",,"30,3","2,5","85,3","90,7",,"85,2","34,7","7,4",,"10,7","59,1","305,3","68,6",,"20,9","0,0","90,0","67,6",,"61,6"
Sakarya,,"1,7","99,5","15,7",,"49,7","9,4","63,2","81,2",,3 802,"38,5","46,1",,"8,3","77,5",6 301,"80,8","84,0",,"37,0","303,4","198,3","12,5","80,6",,"64,5","42,0","99,7","14,2","70,2",,"26,8","2,8","76,9","89,4",,"91,3","23,6","22,1",,"10,5","80,0","10,5","74,2",,"89,5","132,4","89,1","67,9",,"69,6"
Samsun,,"1,4","99,4","19,5",,"47,2","6,6","55,2","80,9",,4 097,"36,1","46,1",,"10,2","78,1",4 544,"71,0","84,3",,"39,2","304,8","201,0","13,5","80,5",,"56,0","40,0","85,4","20,1","68,3",,"18,9","2,5","61,4","87,7",,"89,1","23,2","6,3",,"9,5","75,5","485,9","66,1",,"64,5","128,2","86,5","50,3",,"61,0"
